TIMESTAMP,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_RESPONSESIZE~AVERAGE,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_TIMETAKEN~STD_DEV,2014-06-20_13:45~PRACTICEAPILOADTEST0620~MAIN~REQUESTS~PER_SECOND,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_TIMETAKEN~MEDIAN,2014-06-20_13:45~PRACTICEAPI~MAIN~COMPLETED~PER_SECOND,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_TIMETAKEN~AVERAGE,2014-06-20_13:45~PRACTICEAPI~MAIN~TIME_TAKEN~AVERAGE,2014-06-20_13:45~PRACTICEAPI~MAIN~THROUGHPUT~TPS,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_RESPONSESIZE~PERCENTILE_75TH,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_RESPONSESIZE~STD_DEV,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_TIMETAKEN~PERCENTILE_75TH,2014-06-20_13:45~PRACTICEAPI~MAIN~RUNNING~VALUE,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_TIMETAKEN~PERCENTILE_90TH,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_RESPONSESIZE~PERCENTILE_25TH,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_RESPONSESIZE~PERCENTILE_90TH
00:00:56,123.0,27.226187873487703,0.0,31.0,,41.142857142857146,,1.0,123.0,0.0,50.5,100.0,73.80000000000001,123.0,123.0
00:00:57,123.0,110.3836743162482,0.0,20.5,,74.66666666666667,,0.0,123.0,0.0,44.25,100.0,186.0,123.0,123.0
00:00:58,,,0.0,,,,,1.0,,,,100.0,,,
00:00:59,123.0,660.5796743564242,0.0,85.0,,374.77777777777777,,1.0,123.0,0.0,326.0,100.0,726.6000000000004,123.0,123.0
00:01:00,123.0,16.181470884935027,0.0,19.0,,27.4,,0.0,123.0,0.0,26.0,100.0,45.800000000000004,123.0,123.0
00:01:01,123.0,1537.1695489510005,0.0,25.5,0.0,888.3333333333334,17963.0,1.0,123.0,0.0,769.5,100.0,2622.5,123.0,123.0
00:01:02,,,1.0,,1.0,,,2.0,,,,99.971,,,
00:01:03,98.4,363.8673384627975,0.0,18.0,0.0,195.4,,0.0,123.0,49.2,19.0,100.0,561.4000000000001,123.0,123.0
00:01:04,123.0,737.2332170531456,0.0,24.0,0.0,329.42857142857144,,0.0,123.0,0.0,45.5,100.0,888.2000000000007,123.0,123.0
00:01:05,123.0,295.7440501681759,0.0,24.0,0.0,213.88888888888889,,0.0,123.0,0.0,394.0,100.0,530.6000000000001,123.0,123.0
00:01:06,,,0.0,,0.0,,,0.0,,,,100.0,,,
00:01:07,123.0,0.9797958971132712,0.0,18.0,0.0,17.8,,2.0,123.0,0.0,18.0,100.0,18.6,123.0,123.0
00:01:08,,,0.0,,0.0,,,0.0,,,,100.0,,,
